Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
34,1,0.680378127,1.15052762,0.014846614,0.040215504
36,1,0.665664196,1.133425069,0.049514434,0.160525906
38,1,0.693622637,1.058477724,0.061615836,0.04374218
40,1,0.694670856,1.022760904,0.015627258,0.03834073
42,1,0.717412817,0.956571054,0.036315543,0.139108138
44,1,0.712514699,0.943360424,0.015064364,0.192718329
46,1,0.714116371,0.920091653,0.067737409,0.102726561
48,1,0.713195527,0.90831728,0.095778183,0.0347681
50,1,0.724862862,0.881541717,0.039773591,0.108774577
52,1,0.709590518,0.90032506,0.038530426,0.060125051
54,1,0.729378927,0.859942675,0.040359048,0.100595691
56,1,0.723207295,0.874188793,0.06371303,0.125186096
58,1,0.743725514,0.815918159,0.033468128,0.101643813
60,1,0.738494325,0.822323418,0.066245495,0.170882436
62,1,0.747864425,0.801767492,0.061460033,0.156613732
64,1,0.745062685,0.805836844,0.06942704,0.033486759
66,1,0.743735301,0.803628349,0.050773456,0.149890938
68,1,0.754295647,0.778983092,0.039042269,0.119378544
70,1,0.760761178,0.7583377,0.052223398,0.153050697
72,1,0.766918111,0.737987065,0.048373714,0.102832238
74,1,0.763494313,0.742488623,0.014819667,0.01653492
76,1,0.755534863,0.771765661,0.072574817,0.035716736
78,1,0.764557219,0.746527481,0.038977185,0.102914959
80,1,0.766707468,0.733329654,0.046107766,0.139743463
82,1,0.755015683,0.775387454,0.069067065,0.034939126
84,1,0.760305655,0.761333144,0.033433949,0.115540161
86,1,0.759066415,0.76408987,0.031150709,0.114347733
88,1,0.756205928,0.768496728,0.056434273,0.17215825
90,1,0.74986285,0.791625404,0.088846932,0.046696801
92,1,0.752757645,0.7815202,0.047584952,0.137224531
94,1,0.754702199,0.769263422,0.047961358,0.140860579
96,1,0.749534678,0.796279824,0.014460742,0.054191812
98,1,0.752698874,0.783622682,0.078988806,0.038422768
100,1,0.751400852,0.792712688,0.056432408,0.034188623
0,1.2,0.104231975,2.480753231,0.036718471,0.055424837
2,1.2,0.128296432,2.323437595,0.022092111,0.037999843
4,1.2,0.2000049,2.264415216,0.014727562,0.0729199
6,1.2,0.197041533,2.237971211,0.016622923,0.066162614
8,1.2,0.205676919,2.176651144,0.030597891,0.059794028
10,1.2,0.292608735,2.123996019,0.019275491,0.052742718
12,1.2,0.288254306,2.064994144,0.028349901,0.051928391
14,1.2,0.481387139,1.962482834,0.01755876,0.054963369
16,1.2,0.459737462,1.903419924,0.014706916,0.04169974
18,1.2,0.463425744,1.803849411,0.038432258,0.129879155
20,1.2,0.529618931,1.723686123,0.035234022,0.036033852
22,1.2,0.613239622,1.608072948,0.073062993,0.111112088
24,1.2,0.548437488,1.555738068,0.054302589,0.073087672
26,1.2,0.603453159,1.429915786,0.095201639,0.178648535
28,1.2,0.63084836,1.365029144,0.020566792,0.133703826
30,1.2,0.628639281,1.295532155,0.053831569,0.147326657
32,1.2,0.624760008,1.224599171,0.015540274,0.034344169
34,1.2,0.693191612,1.108481526,0.041637585,0.183286142
36,1.2,0.640223372,1.159046245,0.020641583,0.035750038
38,1.2,0.679932404,1.039690483,0.092393046,0.169844194
40,1.2,0.670405578,1.060306692,0.060656719,0.170041778
42,1.2,0.693999803,1.003394079,0.031751134,0.060666051
44,1.2,0.690375185,0.979368174,0.051291931,0.075420954
46,1.2,0.686162806,0.975616193,0.095406071,0.104410945
48,1.2,0.713455129,0.921848405,0.043006698,0.153242886
50,1.2,0.701836789,0.959150744,0.090621904,0.041016953
52,1.2,0.722482359,0.886115921,0.081761119,0.150386362
54,1.2,0.7012833,0.93100748,0.014983803,0.04298627
56,1.2,0.689380872,0.977505541,0.027019464,0.080209046
58,1.2,0.690899289,0.94942646,0.087029505,0.036842257
60,1.2,0.709370113,0.890715623,0.038161271,0.119980747
62,1.2,0.677615607,0.989393377,0.093512911,0.044333826
64,1.2,0.708571708,0.899655104,0.067318988,0.143086045
66,1.2,0.720239031,0.883502161,0.071419153,0.187841712
68,1.2,0.705525089,0.909552884,0.027988442,0.054942818
70,1.2,0.695547605,0.960477912,0.037156117,0.124829693
72,1.2,0.697839928,0.934963703,0.082642348,0.198325028
74,1.2,0.715272343,0.894620478,0.068813025,0.176545715
76,1.2,0.702796841,0.946577632,0.060616832,0.188898396
78,1.2,0.706700623,0.925294638,0.054716235,0.038467982
80,1.2,0.687651849,0.984362853,0.039872993,0.07092724
82,1.2,0.687441242,0.964812279,0.032259429,0.056947155
84,1.2,0.68285166,0.982579315,0.024479986,0.01663003
86,1.2,0.70503037,0.93486104,0.065678729,0.041199959
88,1.2,0.687117958,0.979047489,0.009249569,0.142899192
90,1.2,0.636393022,1.169671202,0.020705234,0.08807152
92,1.2,0.66041832,1.048705125,0.016762009,0.03936555
94,1.2,0.668005478,1.069412363,0.019886234,0.078733535
96,1.2,0.644984341,1.15156796,0.014819892,0.043303652
98,1.2,0.668142629,1.055007196,0.042743445,0.11298733
100,1.2,0.661686921,1.09924022,0.01513973,0.063373745
0,1.4,0.099490598,2.62859602,0.007181687,0.123879948
2,1.4,0.123716691,2.317279816,0.014687449,0.10710821
4,1.4,0.12392241,2.272122669,0.042114932,0.053565949
6,1.4,0.153786248,2.259150314,0.088957027,0.055711067
8,1.4,0.240517235,2.192078733,0.023650922,0.068362021
10,1.4,0.259610105,2.150272751,0.03805854,0.036595461
12,1.4,0.308405173,2.087373257,0.043583408,0.154887726
14,1.4,0.406152034,1.999766636,0.049697915,0.065103054
16,1.4,0.410721988,1.926234818,0.021480441,0.128519278
18,1.4,0.508454156,1.812183762,0.020687797,0.144712858
20,1.4,0.553144586,1.71004982,0.094796098,0.093438795
22,1.4,0.563362074,1.614166689,0.027893583,0.039502233
24,1.4,0.571360707,1.519387746,0.026202735,0.04736267
26,1.4,0.56622746,1.446906185,0.016167679,0.173752364
28,1.4,0.603002572,1.362375092,0.067300947,0.090342622
30,1.4,0.614307404,1.292713713,0.002464425,0.090226883
32,1.4,0.605794477,1.259750914,0.019954592,0.187042513
34,1.4,0.585859108,1.300566816,0.023048379,0.049286695
36,1.4,0.633689261,1.152207804,0.061198257,0.112725085
38,1.4,0.647428477,1.115584588,0.076067827,0.040931077
40,1.4,0.622036636,1.126731085,0.040499593,0.092434808
42,1.4,0.669029176,1.037571454,0.065210192,0.136802018
44,1.4,0.669136953,1.038911963,0.099752641,0.052236654
46,1.4,0.658238626,1.061782813,0.032926115,0.103355231
48,1.4,0.668563879,1.022080755,0.018836022,0.069636102
50,1.4,0.673295462,1.023261976,0.047375877,0.150688056
52,1.4,0.676572287,0.984753919,0.062844703,0.103721569
54,1.4,0.648427701,1.07336998,0.082980621,0.051751079
56,1.4,0.658189642,1.061594725,0.01458131,0.053897836
58,1.4,0.637039578,1.143992496,0.019224966,0.076252668
60,1.4,0.644269204,1.105954123,0.025226671,0.089234168
62,1.4,0.650181222,1.084820294,0.018367766,0.064527954
64,1.4,0.612960434,1.227247763,0.039305925,0.122639338
66,1.4,0.611858356,1.237999964,0.017860794,0.084115256
68,1.4,0.617594039,1.204605293,0.040797738,0.092719645
70,1.4,0.597325647,1.332121348,0.015220459,0.080993859
72,1.4,0.590017641,1.346498823,0.024168227,0.099274929
74,1.4,0.618333673,1.219024158,0.094858304,0.039082319
76,1.4,0.589082098,1.365438294,0.021743403,0.11105839
78,1.4,0.582797814,1.392753983,0.023016646,0.107765884
80,1.4,0.581945538,1.405311918,0.034545182,0.144762917
82,1.4,0.553810745,1.512930226,0.018434212,0.04867217
84,1.4,0.521634996,1.694228888,0.058735225,0.050572631
86,1.4,0.532180625,1.586371398,0.026216692,0.141134576
88,1.4,0.526258826,1.591323042,0.024486784,0.094891651
90,1.4,0.50376665,1.697818542,0.018151352,0.085358058
92,1.4,0.484615004,1.679508591,0.022996494,0.098492941
94,1.4,0.474206501,1.719878626,0.019477067,0.050927276
96,1.4,0.449074262,1.760064101,0.095442909,0.048838529
98,1.4,0.479119313,1.756033301,0.033355472,0.119304758
100,1.4,0.495704341,1.708879996,0.079032252,0.189119897
