Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss,,,,,,,,,,
22,0.75,0.106681034,152.7492447,0.010135222,18.44462242,,,,,,,,,,
24,0.75,0.116394003,280.6035034,0.075282599,45.76417266,,,,,,,,,,
26,0.75,0.113538402,407.6902954,0.038654992,56.97727128,,,,,,,,,,
28,0.75,0.085633817,706.1667236,0.039662492,87.48994033,,,,,,,,,,
30,0.75,0.101214735,1488.126044,0.082211857,245.1679129,,,,,,,,,,
32,0.75,0.099412225,2983.510547,0.024908501,469.3217705,,,,,,,,,,
34,0.75,0.099617946,4721.295264,0.053965781,721.1798479,,,,,,,,,,
36,0.75,0.113019203,9229.626953,0.041498021,1660.591073,,,,,,,,,,
38,0.75,0.11046728,16381.95039,0.063942226,2592.488546,,,,,,,,,,
40,0.75,0.103374803,34068.37852,0.025777816,6442.256893,,,,,,,,,,
42,0.75,0.10776352,72373.57207,0.033695446,15288.04767,,,,,,,,,,
44,0.75,0.101249021,135777.2313,0.008588731,29819.26572,,,,,,,,,,
46,0.75,0.097614616,236211.8172,0.027253995,50479.84398,,,,,,,,,,
48,0.75,0.096532133,423847.55,0.026003484,87825.05698,,,,,,,,,,
50,0.75,0.097369711,741594.95,0.022726975,173378.416,,,,,,,,,,
52,0.75,0.094269201,1133443.963,0.040079491,205532.5915,,,,,,,,,,
54,0.75,0.089165361,1806228.675,0.030232901,190495.1251,,,,,,,,,,
56,0.75,0.097467673,2839752.6,0.045351847,137393.9936,,,,,,,,,,
58,0.75,0.094597374,4480829.9,0.032993701,294232.751,,,,,,,,,,
60,0.75,0.10273805,7309697.8,0.028394603,753980.8608,,,,,,,,,,
62,0.75,0.101626176,13386976.5,0.028033461,1920640.675,,,,,,,,,,
64,0.75,0.101626176,21890092.8,0.044849478,3549450.906,,,,,,,,,,
66,0.75,0.105623041,34345705.8,0.039188873,5680715.228,,,,,,,,,,
68,0.75,0.09997551,50506796.4,0.033329441,7849185.21,,,,,,,,,,
70,0.75,0.099216302,70153747.2,0.032115367,7801504.298,,,,,,,,,,
72,0.75,0.10237069,105106180.8,0.045188315,11660735.86,,,,,,,,,,
74,0.75,0.104315245,157945744,0.056408778,23010639.67,,,,,,,,,,
76,0.75,0.09908895,226250851.2,0.046805416,33820865.74,,,,,,,,,,
78,0.75,0.083929273,296230886.4,0.084878866,38810452.02,,,,,,,,,,
80,0.75,0.097389303,436437958.4,0.03212481,44080619.33,,,,,,,,,,
82,0.75,0.095165558,586847417.6,0.029026364,42101608.93,,,,,,,,,,
84,0.75,0.099255486,738335200,0.061130882,108489049,,,,,,,,,,
86,0.75,0.107513715,1171117568,0.02714399,184223565.7,,,,,,,,,,
88,0.75,0.100093065,2165442867,0.008383325,525159518.8,,,,,,,,,,
90,0.75,0.099206504,3482241894,0.010180117,1033123045,,,,,,,,,,
92,0.75,0.097252156,4697672755,0.026646938,1155271312,,,,,,,,,,
94,0.75,0.096551724,5242978099,0.042008619,914012061.8,,,,,,,,,,
96,0.75,0.095807211,7492717363,0.035779833,1257140152,,,,,,,,,,
98,0.75,0.092848748,13703406797,0.045651748,3173199015,,,,,,,,,,
100,0.75,0.091585033,22916561715,0.056958818,4763705168,,,,,,,,,,
