Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
9,18,0.77,0.531504685,1.857158661,0.260537676,0.195689382
10,20,0.77,0.580892432,1.758012033,0.151637524,0.175638699
11,22,0.77,0.593363047,1.665218091,0.106123902,0.211174771
12,24,0.77,0.612519598,1.570178819,0.147464957,0.175774138
13,26,0.77,0.620572114,1.47346282,0.143558828,0.140716113
14,28,0.77,0.648966491,1.368502569,0.136912663,0.188828985
15,30,0.77,0.68423785,1.27046833,0.054838998,0.141367382
16,32,0.77,0.656083453,1.237578058,0.127720703,0.158665141
17,34,0.77,0.659747255,1.17240479,0.140194863,0.187367011
18,36,0.77,0.678423786,1.133782625,0.166535721,0.369633115
19,38,0.77,0.689131069,1.058900857,0.128344267,0.227543734
20,40,0.77,0.715419269,0.982051408,0.026444419,0.128772399
21,42,0.77,0.705128324,0.97484982,0.072177723,0.170169068
22,44,0.77,0.727424574,0.919762111,0.070299945,0.162688458
23,46,0.77,0.745861089,0.859067011,0.044711901,0.094890399
24,48,0.77,0.719465113,0.897920442,0.110306091,0.259604978
25,50,0.77,0.735702395,0.855806684,0.025449431,0.07969983
26,52,0.77,0.752512741,0.808223069,0.037614458,0.117986587
27,54,0.77,0.748280752,0.808045065,0.062601968,0.132848362
28,56,0.77,0.758321893,0.78002038,0.041718214,0.099780447
29,58,0.77,0.761804461,0.766957998,0.057316687,0.152439992
30,60,0.77,0.762730193,0.76443913,0.028512899,0.069123162
31,62,0.77,0.769136965,0.739852476,0.030253475,0.07298201
32,64,0.77,0.768862665,0.736152494,0.039750048,0.120250012
33,66,0.77,0.782376575,0.703500795,0.014996427,0.048978634
34,68,0.77,0.768328762,0.738406718,0.029394551,0.086383545
35,70,0.77,0.781455708,0.705213916,0.022815735,0.074673379
36,72,0.77,0.778546238,0.70102644,0.06382126,0.158027335
37,74,0.77,0.778110301,0.703888547,0.033243096,0.117522142
38,76,0.77,0.782116961,0.68926369,0.019263628,0.047393337
39,78,0.77,0.787485301,0.680095828,0.028104112,0.07219066
40,80,0.77,0.793392444,0.66178329,0.027762208,0.065574798
41,82,0.77,0.792461789,0.658658838,0.01697581,0.041377775
42,84,0.77,0.797790956,0.646022475,0.01893462,0.056222548
43,86,0.77,0.791330314,0.665304303,0.017268995,0.045042707
