Column1,Column2,Column3,Column4,Column5,Column6
500,45,0.70130692,0.748930808,0.154163312,0.077852205
500,46,0.688149202,0.740317284,0.074177455,0.018085358
500,47,0.71250226,0.742739374,0.124912935,0.014694695
500,48,0.672609174,0.745189312,0.128057504,0.088876236
500,49,0.678739308,0.743085788,0.135640253,0.060897362
500,50,0.694384116,0.748906846,0.186571795,0.062650654
500,51,0.672493196,0.7555146,0.115562058,0.055785266
500,52,0.675051388,0.7500902,0.106210154,0.066408141
500,53,0.69905039,0.73213844,0.083975979,0.035056563
500,54,0.683164072,0.741034378,0.084168831,0.022011635
500,55,0.710048774,0.733676558,0.239067802,0.047209058
500,56,0.694577728,0.746053448,0.076419449,0.036200004
500,57,0.691771514,0.750208198,0.262687528,0.069992523
500,58,0.700629718,0.73312846,0.151119362,0.070688221
500,59,0.658865852,0.74871644,0.1453125,0.043981703
500,60,0.7060244,0.735222946,0.078107931,0.027570145
500,61,0.67313968,0.757178534,0.092465703,0.04573725
500,62,0.67041747,0.757662884,0.117733105,0.04586617
500,63,0.712671472,0.743567448,0.116379834,0.049898485
500,64,0.677368842,0.754271508,0.173613578,0.039885842
500,65,0.703247802,0.747464572,0.076122718,0.062714988
500,66,0.661667216,0.757920202,0.140024838,0.032228939
500,67,0.712186696,0.741282192,0.052291899,0.033409448
500,68,0.710915804,0.74483388,0.137269195,0.04819614
500,69,0.69474103,0.746204824,0.135612299,0.037003149
500,70,0.714581108,0.746083244,0.179326029,0.048272762
500,71,0.68974745,0.74212453,0.149808919,0.07998941
500,72,0.676051496,0.754040708,0.086849498,0.050423695
500,73,0.696318296,0.743588188,0.13101261,0.050436176
500,74,0.689634298,0.748466252,0.229904069,0.071218068
500,75,0.654610796,0.759852226,0.174962301,0.041360614
500,76,0.693281698,0.753621414,0.123109975,0.018010255
500,77,0.704136738,0.745010814,0.048000878,0.050703135
500,78,0.675880748,0.75519262,0.159756949,0.098222791
500,79,0.678013954,0.763166314,0.093676876,0.035334419
500,80,0.703930586,0.749168654,0.214730216,0.032527804
500,81,0.69330844,0.756524308,0.17217761,0.04554956
500,82,0.658582306,0.759752514,0.110846993,0.057613689
500,83,0.688013952,0.751397844,0.105720808,0.035513325
500,84,0.676916106,0.747525068,0.106533345,0.038191765
500,85,0.67568964,0.756969304,0.144908631,0.04046827
500,86,0.66555645,0.752944726,0.228716437,0.050023
500,87,0.685372178,0.75024391,0.137637422,0.051778187
500,88,0.65790404,0.753216762,0.062411082,0.040287897
500,89,0.695377808,0.749320134,0.168684062,0.056370043
500,90,0.663042732,0.75682016,0.141946277,0.048790436
500,91,0.70261103,0.74752715,0.101651103,0.036376621
500,92,0.701586388,0.74410774,0.113395328,0.055927735
500,93,0.70786798,0.755880556,0.141599779,0.056995743
500,94,0.69366492,0.745079662,0.221474625,0.076282583
500,95,0.67683215,0.746915096,0.091758946,0.059324894
500,96,0.703603756,0.740214402,0.103775394,0.046966201
500,97,0.69504897,0.753249148,0.190206318,0.046024113
500,98,0.690498508,0.743757648,0.158854542,0.034898659
500,99,0.676860052,0.755485286,0.136834716,0.033309489
1000,0,10.9281442,0,0.671459387,0
1000,1,10.7999134,0,0.677099264,0
1000,2,10.956184,0,0.93251472,0
1000,3,10.831046,0,0.985673834,0
1000,4,10.6086798,0,0.562299843,0
1000,5,10.4469809,0,0.597685597,0
1000,6,9.7953792,0.000128123,0.74299952,0.000604716
1000,7,8.9433316,0.004468782,1.004031931,0.007480658
1000,8,7.46211328,0.022170835,0.758894145,0.018223609
1000,9,5.90485266,0.065629569,1.481661721,0.051007107
1000,10,4.31815396,0.128890866,1.143796042,0.058615743
1000,11,3.08382508,0.192079718,0.554396513,0.040688006
1000,12,2.30794348,0.244530696,0.621854507,0.083287284
1000,13,1.77502684,0.293769032,0.273176414,0.050366003
1000,14,1.45082758,0.337952412,0.308369169,0.043790337
1000,15,1.2584791,0.36958412,0.230111199,0.04709761
1000,16,1.13546498,0.416963124,0.141879889,0.021056644
1000,17,0.994261084,0.459958132,0.221194478,0.070630675
1000,18,0.94127618,0.498796556,0.183305351,0.078749572
1000,19,0.8742236,0.519664318,0.12935993,0.033796748
1000,20,0.838907642,0.547493436,0.087912814,0.047170276
1000,21,0.809234926,0.562821714,0.07259158,0.041119393
1000,22,0.782391104,0.562404012,0.164833489,0.077621171
1000,23,0.762602926,0.604316254,0.134872459,0.06627279
1000,24,0.805381532,0.59554318,0.134533642,0.033453409
1000,25,0.773288876,0.60866882,0.171900986,0.059619452
1000,26,0.731113526,0.633462898,0.113284574,0.051425475
1000,27,0.726597472,0.646931226,0.087446958,0.022222917
1000,28,0.737573088,0.655157934,0.083434667,0.064807569
1000,29,0.69373874,0.66454314,0.142203168,0.034062721
1000,30,0.69962236,0.65571786,0.101798671,0.040252103
1000,31,0.70015728,0.672893892,0.08838874,0.054422725
1000,32,0.73343952,0.66897876,0.228309466,0.062173677
1000,33,0.693364944,0.677701392,0.092024254,0.075195252
1000,34,0.702782916,0.68964716,0.047888044,0.032194549
1000,35,0.678602426,0.687633594,0.04473762,0.051538506
1000,36,0.704722988,0.697168048,0.114847381,0.044712049
1000,37,0.678021216,0.6998191,0.079467861,0.034861411
1000,38,0.700024768,0.693523122,0.0450168,0.038883819
1000,39,0.673981658,0.70730814,0.163158675,0.047229412
1000,40,0.697218324,0.702588196,0.089349873,0.060305807
1000,41,0.688912266,0.701950156,0.148443437,0.064277344
1000,42,0.697592396,0.703460962,0.136985394,0.052834651
1000,43,0.682052678,0.717449088,0.159580913,0.043265564
1000,44,0.687600486,0.709959678,0.111696282,0.039380262
1000,45,0.6808316,0.719791692,0.043540749,0.020093227
1000,46,0.682935386,0.720172074,0.038678178,0.046484322
1000,47,0.686719436,0.71503833,0.094855564,0.043108267
1000,48,0.6674089,0.726245432,0.103489434,0.053678944
1000,49,0.675476374,0.713380674,0.10616448,0.063235246
1000,50,0.68251722,0.723653632,0.057472027,0.073666815
1000,51,0.705014986,0.712169464,0.119264331,0.048806605
1000,52,0.663176162,0.729523946,0.084066049,0.04977594
1000,53,0.687664558,0.732590532,0.083733298,0.044172479
1000,54,0.6818148,0.727980328,0.133600715,0.039388216
1000,55,0.68411553,0.72586952,0.120030914,0.048876108
1000,56,0.693209786,0.723065728,0.151871564,0.05558153
1000,57,0.674300998,0.735287152,0.106072967,0.054619305
1000,58,0.660773034,0.73478173,0.119878293,0.056546603
1000,59,0.669907412,0.7376329,0.030759542,0.031344552
1000,60,0.670882212,0.732326842,0.08748977,0.031909056
1000,61,0.6704813,0.72516957,0.068715031,0.034183414
1000,62,0.678632018,0.737624372,0.089623939,0.043848687
1000,63,0.677867188,0.737652044,0.127762847,0.023880526
1000,64,0.689676822,0.733501892,0.158422958,0.062277498
1000,65,0.722257762,0.713391082,0.094197008,0.044720849
1000,66,0.671238814,0.741722234,0.044396127,0.033670858
1000,67,0.679816208,0.738532886,0.100134906,0.060178482
